id,name_CHN,start date,end date,subject type,alma mater
1143991,陶夏新,1982,1986,自然科學,中國科學院工程力學研究所、國家地震局工程力學研究所地震工程和防護工程專業博士研究生學習
1150497,陶凱元,1981 / 9,1985 / 7,,武漢大學法學院國際法專業本科生，獲法學學士學位
1150497,陶凱元,1985 / 9,1988 / 6,,武漢大學法學院國際法專業碩士研究生，獲法學碩士學位
1150497,陶凱元,1991 / 9,1992 / 3,,香港理工大學訪問進修學者
1150497,陶凱元,1996 / 9,2000 / 6,,武漢大學法學院國際法專業在職博士研究生學習，獲法學博士學位
1150497,陶凱元,2002 / 9,2003 / 9,,參加廣東省委第四批高層次管理人才出國培訓專案，赴加拿大不列顛哥倫比亞大學（UBC）進修學習，並擔任該組組長
1150497,陶凱元,2006 / 10,,,美國加州大學伯克利分校“中國創新與智慧財產權領導者”專案訪問學者
1150497,陶凱元,2011 / 3,2011 / 7,,中央黨校中青年幹部培訓班學習
1138352,陶伯鈞,1951 / 7,1955 / 6,軍事科學,第6砲兵學校學習
1138352,陶伯鈞,1983 / 9,1985 / 7,軍事科學,解放軍軍事學院學習
1138352,陶伯鈞,1988 / 3,1988 / 7,,中央黨校省部級班學習
1140673,陳鶴良,,1982,,北京大學中文系新聞專業
1146281,陳鳴明,1978 / 4,1982 / 8,人文科學,貴州大學
1146281,陳鳴明,1996 / 6,1999 / 6,經濟與管理,貴州省委黨校
1146281,陳鳴明,2003 / 9,2006 / 6,經濟與管理,武漢理工大學
1141742,陳鳳翔,1975 / 10,,人文科學,北京大學俄語系學習
1141742,陳鳳翔,1987 / 8,1988 / 9,未知,赴蘇聯進修
1152432,陳鳳學,2002 / 9,2003 / 1,,中央黨校第34期進修班學習
1143178,陳駿,,1977 / 3,自然科學,南京大學地質系地球化學專業學生
1143178,陳駿,,1983 / 3,自然科學,南京大學地質系礦床學專業博士研究生
1143178,陳駿,,1979 / 9,自然科學,南京大學地質系地球化學專業碩士研究生
1143178,陳駿,1988 / 9,1989,自然科學,英國帝國理工學院進修
1165337,陳飛虎,,,,中國人民大學工業經濟專業畢業
1144437,陳飛,,1986 / 7,自然科學,武漢水利電力學院水利水電工程建築專業本科
1144437,陳飛,,1999 / 1,經濟與管理,中國人民大學產業經濟專業碩士
1142835,陳靜茹,1944 / 6,1945,未知,延安中央黨校二部學習
1142835,陳靜茹,1929,1935,未知,河北省平山縣高級小學學習
1142835,陳靜茹,1939 / 9,1939 / 10,未知,邊區群眾幹部訓練班學習
1142835,陳靜茹,1938 / 5,,未知,晉察冀第四分區民運部婦訓班學習
1142835,陳靜茹,1943 / 3,1943 / 9,未知,北岳區黨委黨校學習
1143616,陳霖,1980 / 9,1985 / 7,社會科學與法律,中央民族學院政治系
1143616,陳霖,2004 / 4,2007 / 7,經濟與管理,清華大學公共管理學院學習，獲碩士學位
1143147,陳震,1923,,未知,南充中學學習2
1143147,陳震,1945 / 6,,未知,中央黨校二部學習8
1138590,陳雷,1976 / 12,1980 / 7,自然科學,東北工學院金屬材料系粉末冶金專業（工科．工學．冶金，本科）
1138590,陳雷,1982 / 9,1985 / 5,自然科學,華北水利水電學院北京研究生部農田水利工程專業研究生（工科．工學．水利工程，脫產讀書，工學碩士）
1138590,陳雷,1991 / 3,1991 / 7,未知,中央黨校國家機關分校（短期政治培訓）
1138590,陳雷,2002 / 3,2002 / 5,未知,中央黨校進修一班（短期政治培訓）
1138195,陳雲林,1961 / 9,1966 / 9,自然科學,北京農業大學土壤化學系農藥專業學習
1138195,陳雲林,1982 / 9,1983 / 7,未知,中共中央黨校培訓部中青年幹部培訓班學習
1141571,陳雲,,1919,未知,小學
1141571,陳雲,1935 / 10,,未知,莫斯科列寧學校學習
1160487,陳雪楚,1991 / 7,,,北京大學社會學系
1160487,陳雪楚,1991 / 9,1992 / 7,,中國人民解放軍石家莊陸軍學院軍訓
1160487,陳雪楚,1992 / 9,1996 / 7,,北京大學社會學系社會學專業學習，獲法學學士學位
1166720,陳雨露,,,,美國艾森豪威爾基金高級訪問學者
1166720,陳雨露,,,,哥倫比亞大學富布賴特高級訪問學者
1144815,陳難先,1956 / 9,1962 / 7,自然科學,北京大學物理系物理專業學生
1144815,陳難先,1981 / 1,1984 / 5,自然科學,美國賓夕法尼亞大學電氣工程與科學系獲博士學位
1144815,陳難先,1984 / 5,1986 / 5,未知,美國賓夕法尼亞大學、維拉諾瓦大學和IBM聯邦部副研究員2
1143675,陳雅棠,1963 / 9,1969 / 9,自然科學,北京醫學院醫療系醫療專業
1143675,陳雅棠,1979 / 9,1982 / 2,自然科學,重慶醫學院醫療系免疫學專業碩士研究生
1143675,陳雅棠,1982 / 2,1985 / 2,自然科學,重慶醫學院醫療系傳染病學專業博士研究生
1139175,陳際瓦,1961 / 9,1966 / 7,,小學五年級（四川廣安）（1966/9文革停課）
1139175,陳際瓦,1979 / 9,1980 / 7,未知,重慶市委黨校理論班學習（政治培訓）
1139175,陳際瓦,1981 / 5,1983 / 7,經濟與管理,四川省委黨校幹部專修班政治經濟學專業學習（在職大專班）
1139175,陳際瓦,1995 / 4,1997 / 6,社會科學與法律,西南政法大學經濟法專業研究生課程班學習（社會科學．法律）
1139175,陳際瓦,,1999 / 6,社會科學與法律,重慶市高教自學考試應用法學專業本科畢業學習（在職自修輔導班）
1140976,陳開禮,1991 / 1,1992 / 1,,國防大學指揮系學習
1138810,陳鐵迪,1952,1957,自然科學,同濟大學工業與民用建築結構專業學習
