id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1138953,張秋陽,Zhang Qiuyang,男,漢族,研究生,否,,1954/9,,河北 無極,,1969/11,,中國共產黨,1971/7,否,,
1141211,張秋祥,Zhang Qiuxiang,男,漢族,大學專科,,,1943/8,,河北 邢台,中將,1957/8,,中國共產黨,1961/9,否,,"中將軍銜"
1170337,張秋儉,Zhang Qiujian,女,漢族,研究生,,,1956/10,,北京市,教授,1975/4,,中國共產黨,1976/11,,,
1138939,張秉法,Zhang Bingfa,男,漢族,研究生,否,,1940/1,,山西 懷仁,,1961/9,,中國共產黨,1961/6,否,,
1141175,張秉德,Zhang Bingde,男,漢族,,否,,1948/1,,遼寧 阜新,少將,,,中國共產黨,,否,,
1143167,張秀隆,Zhang Xiulong,男,漢族,研究生,,,1958/4,,湖南 懷化,經濟師,1975/10,,中國共產黨,1976/10,否,,
1139089,張秀明,Zhang Xiuming,男,漢族,大學本科,否,,1946/2,,山東 寧津,,1969/9,,中國共產黨,1975/2,否,,
1142563,張秀川,Zhang Xiuchuan,男,漢族,中學以下,,,1919/7,,河北 深州,少將,,,中國共產黨,1936/9,否,,原名張清湖
1142959,張秀山,Zhang Xiushan,男,漢族,,,,1911,1996/8,陜西 神木,,,,中國共產黨,1929,否,,曾用名張紹武、張鴻毓
1140433,張秀夫,Zhang Xiufu,男,漢族,,否,,1934,,山東 海陽,少將,1948/9,,中國共產黨,1950/3,否,,
1138301,張福森,Zhang Fusen,男,漢族,研究生,,,1940/3,,北京 順義,工程師,1965/9,,中國共產黨,1958/10,副局級以上,,
1141099,張福才,Zhang Fucai,男,,,,,1948/7,,,少將,,,中國共產黨,,否,,(待補齊)
1143530,張福恒,Zhang Fuheng,男,漢族,中學以下,,,1931/10,,河北 故城,,1951/7,,中國共產黨,1960/6,否,,
1141218,張祥林,Zhang Xianglin,男,漢族,大學專科,,,1940/12,,山東 高密,少將,1959/1,,中國共產黨,1960/12,否,,
1138588,張祥,Zhang Xiang,男,漢族,,否,,1941,,上海市,工程師,,,中國共產黨,,否,,
1142562,張祥,Zhang Xiang,男,漢族,,,,1919,,湖北 大悟,其他專業頭銜,1930/3,,中國共產黨,1937/10,否,,"曾用名張煥模；大校軍銜"
1165958,張祖林,Zhang Zulin,男,漢族,研究生,短期進修,美國,1959/6,,雲南 昭通,,1977/9,,中國共產黨,,,,
1140217,張研農,Zhang Yannong,男,漢族,研究生,,,1948/11,,四川 閬中,其他專業頭銜,1968/2,,中國共產黨,1969/8,否,,幼時生活於湖南岳陽，副研究員
1143413,張盤洪,Zhang Panhong,男,漢族,,,,1949/3,,江蘇 宜興,少將,,,中國共產黨,,否,,1969年底入伍
1138523,張皓若,Zhang Haoruo,男,漢族,大學本科,其他,俄國,1932/8,2004/3,河南 鞏義,,,,中國共產黨,1950,否,,前煤炭管理局局長張仲魯之子
1139529,張百發,Zhang Baifa,男,漢族,,否,,,,,,,,中國共產黨,,否,,
1140641,張發強,Zhang Faqiang,男,漢族,大學本科,,,1945/2,,,,,,,,否,,
1159339,張異賓,Zhang Yibin,男,漢族,,,,1956/3,,江蘇 南京,,1972/12,,中國共產黨,1974/11,,,筆名張一兵
1167111,張異賓,Zhang　Yibin,男,,研究生,,,1956/3,,山東 茌平,教授,1972/12,,中國共產黨,1974/11,,,
1152286,張田欣,Zhang tianxin,男,漢族,大學專科,,,1955/7,,雲南 江川,,1978/5,,中國共產黨,1984/6,,,2014年7月12日，張田欣因涉嫌違紀，近日中央已免去其中共雲南省委常委、委員職務。
1144038,張生朝,Zhang Shengchao,男,漢族,大學專科,,,1945/1,,陝西 咸陽,,1970/8,,非中國共產黨,,否,,政黨：無黨派
1142561,張璽,Zhang Xi,男,漢族,,,,1912/3,1959/1,河北 平鄉,,,,中國共產黨,1934,否,,原名王常珍
1139366,張瑞鳳,Zhang Ruifeng,男,漢族,大學本科,否,,1936/10,,山東 沂水,,,,中國共產黨,1955,否,,
1142821,張瑞華,Zhang Ruihua,女,漢族,,,,1909/2,1995/2,河南 信陽,,,,中國共產黨,1926,否,,聶榮臻元帥的夫人
1148480,張瑞清,Zhang Ruiqing,男,漢族,,,,1955/1,,河北 陽原,少將,1984,河北 陽原,中國共產黨,,,,
1141734,張瑞敏,Zhang Ruimin,男,漢族,研究生,,,1949/1,,山東 萊州,經濟師,1968/11,,中國共產黨,1976/9,否,,高級經濟師
1140399,張瑞,Zhang Rui,男,漢族,,,,1943/3,,山西 大同,中將,,,中國共產黨,,否,,
1168984,張瑞,Zhang Rui,男,漢族,,,,1909/3,2014/9,浙江省 浦江縣,少將,1933,,中國共產黨,1936,,,
1142688,張琴秋,Zhang Qinqiu,女,漢族,,學位,俄國,1904,1968/4,浙江 桐鄉,,,,中國共產黨,1924/11,否,,原名張梧，別名張鳳生，化名苟秀貞
1169091,張琦,Zhang Qi,男,漢族,研究生,,,1961/3,,安徽 壽縣,經濟師,1981/8,,中國共產黨,1983/6,,,
1142567,張玉華,Zhang Yuhua,男,漢族,中學以下,,,1916,,山東 文登,少將,,,中國共產黨,1935,否,,
1139594,張玉芹,Zhang Yuqin,女,漢族,大學專科,,,1941/12,2002/7,黑龍江 哈爾濱,,1961/9,,中國共產黨,1965/11,否,,
1141128,張玉台,Zhang Yutai,男,漢族,大學專科,,,1945/9,,山東 郯城,研究員,1968/9,,中國共產黨,1964/11,否,,"職級：正部級從政前職業：科學研究人員（電算機，研究員）特別身份：科學行政系統資深幹部（科學院、科技協會）"
1144379,張玉卓,Zhang Yuzhuo,男,漢族,研究生,學位,西歐,1962/1,,山東 壽光,,,,中國共產黨,,否,,
1141334,張燮飛,Zhang Xiefei,男,漢族,,,,1955/2,,福建 龍岩,,1973/3,,中國共產黨,1981/10,副局級以上,,共青團福建省委副書記
1142288,張煒,Zhang Wei,男,漢族,,,,,,,,,,中國共產黨,,否,,
1168710,張煒,Zhang Wei,男,漢族,研究生,學位,其他,1957,,陝西,教授,,,,,,,
1144667,張烈英,Zhang Lieying,男,漢族,大學本科,,,1952/12,,遼寧 莊河,中將,1969/2,,中國共產黨,,,,
1141813,張為民,Zhang Weimin,男,漢族,大學本科,,,1956/4,,山東 掖縣,其他專業頭銜,1975,,中國共產黨,1975/12,否,,高級統計師
1153135,張炳良,Zhang　Bing　Liang,,,,,,1952,,,,,,,,,,
1158411,張炳柱,Zhang Bingzhu,男,,研究生,,,1978/2,,河北青縣,,2000/7,,中國共產黨,2008/12,,,
1139252,張濤,Zhang Tao,男,漢族,研究生,訪問學者,北美洲,1942/9,,山東 萊陽,教授,1967,,非中國共產黨,1984,否,,九三學社成員
1157338,張濤,Zhang Tao,男,漢族,研究生,,,1971/1,,山東臨清,,1993/7,,中國共產黨,1993/1,,,
1158498,張澤峰,Zhang Zefeng,男,漢族,研究生,,,1972/6,,河北 蠡縣,,1993/7,,中國共產黨,1993,正副處級,,
1161237,張澍,Zhang Shu,男,漢族,研究生,,,1978/9,,湖北 羅田,,2005/7,,中國共產黨,1999/3,正副處級,,
1139479,張潤霞,Zhang Runxia,女,漢族,,否,,,,,,,,,,否,,
1139515,張潤身,Zhang Runshen,男,漢族,,否,,1933,,河北 定縣,,,,中國共產黨,,否,,
1140885,張漢夫,Zhang Hanfu,,,,,,1930,,綏德 張家圪嶗村,,,,中國共產黨,1944/3,否,,
1167133,張清傑,Zhang　Qingjie,男,漢族,研究生,,,1958/11,,河南 西峽,教授,,,中國共產黨,,,,
1172694,張海青,Zhang　Haiqing,男,,,,,1959,,河北 雄縣,少將,,,中國共產黨,,,,
