sender,receiver,elite id,year,month
Fujian,Zhejiang,1138227,2002,10
Zhejiang,Shanghai,1138227,2007,3
Shaanxi,Chongqing,1144648,1997,10
Shaanxi,Chongqing,1144938,1997,10
Hainan,Fujian,1171726,1996,5
Tibet,Shanghai,1144001,1994,5
Shanghai,Tibet,1144001,1995,5
Tianjin,Hainan,1139355,2001,7
Hubei,Jiangsu,1138869,2003,5
Guangdong,Hainan,1143410,1997,2
Guangdong,Hainan,1143800,1988,4
Guangdong,Hainan,1139512,1988,8
Sichuan,Chongqing,1140982,1997,8
Heilongjiang,Hunan,1150428,1980,11
Jiangsu,Henan,1138336,1987,6
Henan,Hebei,1138336,1990,6
Shanghai,Beijing,1143182,2001,2
Sichuan,Chongqing,1140974,1997,6
Heilongjiang,Henan,1139217,1998,12
Sichuan,Tibet,1144115,2005,6
Sichuan,Tibet,1164342,2005,6
Hunan,Yunnan,1139912,1999,1
Shandong,Gansu,1143559,2006,10
Guizhou,Yunnan,1153669,2014,5
Gansu,Jilin,1138476,1998,8
Zhejiang,Hebei,1138197,1996,7
Fujian,Henan,1138197,2009,11
Hunan,Shanxi,1168642,2014,9
Liaoning,Ningxia,1138430,1986,12
Shaanxi,Inner Mongolia,1138212,1990,5
Inner Mongolia,Qinghai,1138212,1997,2
Qinghai,Yunnan,1138212,2001,10
Hainan,Hebei,1138151,2002,11
Gansu,Hainan,1143801,1991,7
Tianjin,Liaoning,1161435,2005,11
Inner Mongolia,Tibet,1138388,1988,12
Sichuan,Henan,1143586,1986,11
Henan,Hubei,1143586,2003,5
Beijing,Qinghai,1138174,1988,2
Qinghai,Shanxi,1138174,1999,6
Shanghai,Guangdong,1164901,2007,7
Guangdong,Beijing,1164901,2011,3
Guangdong,Sichuan,1143640,2012,2
Sichuan,Chongqing,1138458,1996,9
Shanxi,Sichuan,1138895,1996,9
Sichuan,Chongqing,1138895,1997,6
Sichuan,Xinjiang,1138701,2001,9
Jilin,Zhejiang,1138455,1996,7
Hubei,Tibet,1141871,1998,7
Tibet,Anhui,1141871,2010,9
Guangxi,Liaoning,1139261,2004,2
Guangdong,Zhejiang,1138805,2006,11
Shanxi,Hunan,1138623,1993,9
Hubei,Inner Mongolia,1138547,1987,8
Shanghai,Jiangsu,1140945,1985,6
Sichuan,Qinghai,1141182,2004,3
Hunan,Guangdong,1138396,1990,12
Chongqing,Guizhou,1158238,2014,4
Jiangsu,Jilin,1139449,2004,10
Jilin,Liaoning,1139449,2009,11
Jiangsu,Jilin,1143408,2004,10
Jilin,Liaoning,1143408,2009,11
Liaoning,Jilin,1144484,1993,3
Anhui,Jiangsu,1166052,2014,8
Qinghai,Guangxi,1138799,1999,5
Sichuan,Chongqing,1143686,1997,2
Guangdong,Hainan,1143797,1986,7
Shandong,Xinjiang,1138163,1991,4
Jiangsu,Guangdong,1141855,2009,6
Jiangxi,Guizhou,1141029,1993,10
Guizhou,Hubei,1141029,2011,12
Anhui,Shandong,1139104,1991,7
Shanghai,Yunnan,1144775,2004,3
Yunnan,Shanghai,1144775,2007,5
Shanghai,Jiangxi,1144775,2011,4
Gansu,Jiangxi,1143260,2006,10
Jiangxi,Heilongjiang,1143260,2010,8
Shanxi,Inner Mongolia,1139346,1979,12
Shanxi,Shandong,1139346,1987,8
Shandong,Heilongjiang,1139346,1994,12
Yunnan,Guizhou,1138737,1993,12
Guizhou,Hainan,1138737,1999,1
Hainan,Beijing,1138238,2003,3
Beijing,Shanghai,1138238,2008,6
Fujian,Henan,1170175,2013,8
Hebei,Hainan,1139352,1991,7
Hainan,Guizhou,1139352,2005,1
Shaanxi,Anhui,1142401,2007,11
Gansu,Shanghai,1138925,2001,9
Guangdong,Hainan,1138930,2001,4
Guangdong,Hainan,1138821,1988,4
Jiangxi,Anhui,1138217,1992,2
Heilongjiang,Liaoning,1165616,2013,3
Guizhou,Jiangsu,1139307,2001,10
Shandong,Jiangsu,1140969,2000,1
Jiangsu,Hubei,1140969,2010,12
Yunnan,Hubei,1170717,2012,9
Shanxi,Inner Mongolia,1139577,2012,12
Anhui,Hainan,1138814,1989,8
Beijing,Zhejiang,1139402,1989,9
Guangdong,Hubei,1141426,1982,10
Shanxi,Hubei,1141428,1986,4
Jilin,Shanxi,1139747,2014,9
Guizhou,Sichuan,1138911,2001,7
Sichuan,Fujian,1138911,2002,10
Fujian,Anhui,1138911,2007,12
Anhui,Gansu,1138911,2011,12
Tibet,Sichuan,1139973,1981,6
Tianjin,Shanxi,1139695,1999,2
Shanghai,Tianjin,1143437,2007,12
Shanghai,Tianjin,1149125,2007,12
Tianjin,Zhejiang,1149125,2013,5
Hunan,Guangdong,1141477,1988,7
Inner Mongolia,Shanxi,1140782,1989,9
Sichuan,Gansu,1143193,2007,3
Jiangxi,Inner Mongolia,1138893,2010,10
Sichuan,Shanghai,1140249,1985,2
Hubei,Shanxi,1144373,2009,6
Fujian,Chongqing,1170806,1999,12
Hunan,Gansu,1141079,1994,10
Shaanxi,Beijing,1140103,2011,2
Sichuan,Chongqing,1142300,1997,4
Jiangsu,Ningxia,1138484,1986,12
Ningxia,Jiangsu,1138484,1989,12
Zhejiang,Anhui,1139140,2001,6
Hubei,Hebei,1141264,1988,5
Guangxi,Guangdong,1141020,1992,3
Guangdong,Guangxi,1141020,1993,3
Chongqing,Guangdong,1139481,2007,12
Anhui,Hubei,1171306,2003,5
Hubei,Hebei,1171306,2006,7
Hunan,Hainan,1138193,1993,1
Heilongjiang,Beijing,1138379,1998,1
Hainan,Shaanxi,1140132,2011,1
Chongqing,Hunan,1138204,2004,5
Henan,Hainan,1146752,2013,1
Hunan,Jiangxi,1138513,1988,4
Tibet,Jiangsu,1138685,2007,1
Zhejiang,Hainan,1142227,2009,1
Hainan,Hubei,1142227,2012,3
Hubei,Shanxi,1142227,2014,6
Ningxia,Guangxi,1144620,2009,12
Hubei,Henan,1140878,1986,8
Hebei,Heilongjiang,1168660,2014,8
Heilongjiang,Shaanxi,1139079,2003,12
Sichuan,Henan,1138566,1985,4
Henan,Sichuan,1138566,1993,2
Tibet,Hubei,1139188,2006,7
Hubei,Hunan,1139188,2011,2
Tibet,Shanghai,1139470,2001,5
Shandong,Xinjiang,1143282,1996,6
Xinjiang,Ningxia,1143282,1998,6
Hebei,Tianjin,1139664,1980,12
Shanxi,Jiangsu,1139538,1985,3
Jiangsu,Shanxi,1139538,1986,1
Shanxi,Gansu,1139538,2001,9
Sichuan,Yunnan,1138700,2001,7
Yunnan,Hebei,1141033,2008,1
